Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
2,07:46:05,old1,caferana,shade,1,1292.0,0,5.79,0.00996,967,0.381,3.7,31.13,6,1.42,1,2.84,29.64,31.13,29.95,1999.59,1989.78,7.951,8.518,18.86,20.21,400.1,2000,11,99.03,-5.66,0.0525,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,7.6E-02,3.8E-03,1.1E-01,30,8.52,1.4E-03,1.6E-02,6.0E-03,30,400,4.7E-02,1.2E-02,-1.5E-01,40,5.7,7.3E-02,1.3E+00,3.6E-01,OK
3,07:48:03,old1,caferana,shade,1,1410.5,0,5.96,0.0101,953,0.379,3.63,30.86,6,1.42,1,2.84,29.65,30.86,29.95,1999.28,1989.21,7.970,8.534,18.90,20.24,400.1,1751,11,99.03,-5.58,0.0486,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.3E-01,6.5E-03,-1.1E+00,30,8.53,1.5E-03,1.8E-02,-6.4E-03,30,400,1.7E-02,4.2E-03,1.4E-02,40,5.87,7.1E-02,1.2E+00,3.7E-01,OK
4,07:49:34,old1,caferana,shade,1,1501.5,0,5.99,0.0103,969,0.376,3.53,30.47,6,1.42,1,2.84,29.65,30.47,29.95,1998.45,1988.35,7.983,8.542,18.94,20.26,400.1,1500,11,99.03,-5.58,0.0486,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,8.4E-02,4.2E-03,-8.3E-01,30,8.54,1.9E-03,2.3E-02,1.7E-02,30,400,1.6E-02,4.0E-03,-8.2E-02,40,6.02,6.4E-02,1.1E+00,-9.4E-02,OK
5,07:51:11,old1,caferana,shade,1,1598.5,0,6.25,0.0105,953,0.373,3.43,30.05,6,1.42,1,2.84,29.62,30.05,29.95,1999.45,1988.96,7.995,8.550,18.99,20.31,400.0,1249,12,99.04,-5.58,0.0486,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.2E-01,6.2E-03,-8.2E-01,30,8.54,2.8E-03,3.3E-02,3.2E-02,30,400,1.6E-02,4.1E-03,1.5E-01,40,6.26,8.7E-02,1.4E+00,1.7E-02,OK
6,07:52:42,old1,caferana,shade,1,1690.0,0,6.55,0.0108,935,0.37,3.32,29.61,6,1.42,1,2.84,29.59,29.61,29.95,1998.94,1988.01,8.003,8.553,19.05,20.36,400.1,1001,12,99.04,-5.58,0.0486,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,5.3E-02,2.7E-03,3.0E-01,30,8.55,1.2E-03,1.4E-02,1.3E-02,30,400,1.1E-02,2.8E-03,-2.7E-03,40,6.49,7.5E-02,1.2E+00,7.5E-02,OK
7,07:54:13,old1,caferana,shade,1,1781.0,0,6.65,0.0111,948,0.369,3.23,29.23,6,1.42,1,2.84,29.54,29.23,29.94,1999.97,1988.88,8.004,8.554,19.10,20.41,400.1,801,13,99.04,-5.58,0.0486,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.1E-01,5.3E-03,-7.8E-01,30,8.55,1.1E-03,1.3E-02,5.9E-03,30,400,1.1E-02,2.8E-03,7.2E-02,40,6.52,5.7E-02,8.7E-01,5.3E-02,OK
8,07:55:44,old1,caferana,shade,1,1872.0,0,6.49,0.0112,986,0.362,3.12,28.76,6,1.42,1,2.84,29.52,28.76,29.95,1999.51,1988.70,8.014,8.552,19.15,20.44,400.0,501,12,99.04,-5.58,0.0486,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.4E-01,7.2E-03,-3.8E-01,30,8.55,1.4E-03,1.6E-02,4.7E-03,30,400,1.7E-02,4.2E-03,6.9E-02,40,6.29,6.9E-02,1.1E+00,3.4E-02,OK
9,07:57:44,old1,caferana,shade,1,1991.0,0,6.16,0.0113,1.04E+03,0.352,3.02,28.31,6,1.42,1,2.84,29.48,28.31,29.95,1999.06,1988.77,8.019,8.543,19.21,20.47,400.0,300,12,99.05,-6.25,0.0517,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.1E-01,5.5E-03,-3.9E-01,30,8.55,1.7E-03,1.9E-02,-1.5E-02,30,400,2.0E-02,5.0E-03,-6.2E-02,40,5.9,2.4E-01,4.0E+00,2.0E+00,OK
10,07:59:42,old1,caferana,shade,1,2109.5,0,5.69,0.0109,1.08E+03,0.335,2.97,28.09,6,1.42,1,2.84,29.45,28.09,29.95,1998.69,1989.16,8.024,8.522,19.25,20.45,400.0,200,12,99.05,-6.42,0.0481,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.5E-01,7.5E-03,5.7E-02,30,8.53,1.7E-03,2.0E-02,-1.8E-02,30,400,1.4E-02,3.5E-03,-1.3E-02,40,5.64,7.9E-02,1.4E+00,-2.6E-01,OK
11,08:01:40,old1,caferana,shade,1,2227.5,0,4.48,0.0103,1.22E+03,0.313,2.94,27.95,6,1.42,1,2.84,29.42,27.95,29.95,1998.98,1991.34,8.036,8.501,19.31,20.43,400.0,100,13,99.05,-6.55,0.0529,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.6E-01,7.9E-03,1.3E+00,30,8.5,1.8E-03,2.1E-02,-4.2E-03,30,400,1.5E-02,3.8E-03,-4.1E-02,40,4.62,9.8E-02,2.1E+00,-2.1E-01,OK
12,08:03:38,old1,caferana,shade,1,2345.0,0,3.05,0.00956,1.4E+03,0.288,2.92,27.86,6,1.42,1,2.84,29.43,27.86,29.96,1998.89,1993.44,8.053,8.481,19.34,20.37,400.0,49,13,99.05,-6.62,0.0543,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,1.99e+03,1.3E-01,6.4E-03,4.0E-01,30,8.48,2.1E-03,2.5E-02,-9.4E-04,30,400,1.4E-02,3.6E-03,-1.3E-01,40,3.14,3.1E-02,1.0E+00,1.1E-01,OK
13,08:05:35,old1,caferana,shade,1,2462.5,0,1.53,0.00886,1.63E+03,0.266,2.91,27.79,6,1.42,1,2.84,29.43,27.79,29.95,1998.93,1995.84,8.059,8.454,19.36,20.31,400.0,11,13,99.06,-6.88,0.0506,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,2e+03,8.7E-02,4.4E-03,-5.5E-01,30,8.45,1.6E-03,1.9E-02,-1.4E-02,30,400,3.3E-02,8.4E-03,-2.5E-01,40,1.33,8.3E-02,6.2E+00,6.0E-01,OK
