Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
31,13:53:27,mature,tower_macarunduba,more_shade,3,6031.5,0,-0.612,0.0293,81.8,0.669,2.2,30.29,6,1.42,1,2.84,29.62,30.29,29.94,49.66,50.53,20.684,21.666,48.86,51.18,400.0,2000,6,98.45,5.27,-0.123,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,50.6,4.2E-02,8.3E-02,-4.8E-01,30,21.7,8.0E-03,3.7E-02,8.9E-02,30,400,1.1E-02,2.8E-03,-6.3E-02,40,-0.863,2.2E-01,2.6E+01,2.0E+00,OK
32,13:55:27,mature,tower_macarunduba,more_shade,3,6152.0,0,0.0847,0.0343,93.7,0.782,2.19,30.32,6,1.42,1,2.84,29.62,30.32,29.95,101.49,101.25,20.662,21.809,48.80,51.51,400.0,2000,6,98.46,5.79,-0.122,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,101,2.8E-02,2.8E-02,5.5E-02,30,21.8,5.3E-03,2.4E-02,6.1E-02,30,400,1.3E-02,3.2E-03,4.1E-03,40,0.23,1.7E-01,7.3E+01,-1.5E+00,OK
33,13:57:27,mature,tower_macarunduba,more_shade,3,6272.0,0,0.749,0.0363,111,0.889,2.36,31.02,6,1.42,1,2.84,29.62,31.02,29.95,150.33,149.01,20.628,21.932,48.74,51.82,400.0,2000,6,98.47,6.28,-0.127,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,149,4.5E-02,3.1E-02,3.4E-01,30,21.9,7.8E-03,3.5E-02,5.2E-02,30,400,1.8E-02,4.4E-03,3.7E-03,40,0.895,1.8E-01,2.0E+01,-1.5E+00,OK
34,13:59:39,mature,tower_macarunduba,more_shade,3,6404.0,0,2.39,0.0431,150,0.963,2.16,30.28,6,1.42,1,2.84,29.63,30.28,29.96,250.65,246.71,20.609,22.021,48.66,52.00,400.0,2000,6,98.47,6.91,-0.132,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,247,5.8E-02,2.4E-02,-5.0E-01,30,22,3.4E-03,1.6E-02,2.9E-02,30,400,3.1E-02,7.7E-03,-3.3E-01,40,2.52,1.4E-01,5.6E+00,-1.2E+00,OK
35,14:01:39,mature,tower_macarunduba,more_shade,3,6524.0,0,3.95,0.0465,195,1.03,2.14,30.22,6,1.42,1,2.84,29.60,30.22,29.95,349.11,342.66,20.592,22.100,48.68,52.24,400.0,2000,6,98.45,7.39,-0.129,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,343,4.1E-02,1.2E-02,-1.1E-01,30,22.1,3.1E-03,1.4E-02,2.8E-02,30,400,1.3E-02,3.3E-03,3.7E-02,40,4.07,1.7E-01,4.3E+00,-1.4E+00,OK
36,14:03:39,mature,tower_macarunduba,more_shade,3,6644.0,0,7.02,0.0485,288,1.07,2.13,30.21,6,1.42,1,2.84,29.61,30.21,29.96,549.96,538.57,20.560,22.126,48.60,52.30,400.1,2000,6,98.45,7.63,-0.122,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,539,6.7E-02,1.3E-02,2.5E-01,30,22.1,2.9E-03,1.3E-02,-1.7E-02,30,400,3.1E-02,7.7E-03,-1.0E-01,40,7.14,7.6E-02,1.1E+00,-6.4E-01,OK
37,14:05:39,mature,tower_macarunduba,more_shade,3,6764.0,0,9.82,0.0476,379,1.05,2.14,30.23,6,1.42,1,2.84,29.60,30.23,29.95,749.86,733.98,20.528,22.073,48.53,52.18,400.0,2000,6,98.45,7.38,-0.13,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,734,4.2E-02,5.7E-03,2.7E-01,30,22.1,5.1E-03,2.3E-02,-6.0E-02,30,400,2.9E-02,7.1E-03,-3.4E-01,40,9.77,9.5E-02,9.7E-01,7.3E-01,OK
38,14:07:53,mature,tower_macarunduba,more_shade,3,6898.0,0,12.6,0.0444,492,0.989,2.15,30.12,6,1.42,1,2.84,29.54,30.12,29.95,1000.01,979.63,20.241,21.692,48.04,51.48,400.0,2001,6,98.45,6,-0.119,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,980,1.0E-01,1.0E-02,1.3E+00,30,21.7,2.1E-02,9.6E-02,-2.7E-01,30,400,1.3E-02,3.2E-03,-1.3E-02,40,12.3,3.8E-01,3.1E+00,3.1E+00,OK
39,14:10:02,mature,tower_macarunduba,more_shade,3,7027.0,0,14.2,0.0389,605,0.886,2.2,30.09,6,1.42,1,2.84,29.52,30.09,29.94,1251.08,1228.21,19.869,21.169,47.19,50.28,400.0,2001,5,98.45,3.96,-0.105,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.23e+03,1.1E-01,9.0E-03,1.2E+00,30,21.2,1.9E-02,8.8E-02,-2.4E-01,30,400,2.0E-02,4.9E-03,-1.9E-01,40,13.8,4.7E-01,3.4E+00,3.9E+00,OK
40,14:12:22,mature,tower_macarunduba,more_shade,3,7166.5,0,14.4,0.0319,707,0.749,2.26,30.12,6,1.42,1,2.84,29.54,30.12,29.95,1500.89,1477.61,19.521,20.621,46.31,48.92,400.0,2001,5,98.44,1.45,-0.0908,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.48e+03,2.3E-01,1.6E-02,3.0E+00,30,20.7,1.8E-02,8.6E-02,-2.3E-01,30,400,1.2E-02,3.0E-03,-6.8E-02,40,13.9,6.2E-01,4.5E+00,5.4E+00,OK
41,14:14:21,mature,tower_macarunduba,more_shade,3,7285.5,0,14.6,0.0273,818,0.656,2.31,30.16,6,1.42,1,2.84,29.55,30.16,29.95,1750.54,1727.01,19.252,20.216,45.66,47.94,400.0,2001,5,98.44,-1.71,-0.0727,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.73e+03,1.3E-01,7.4E-03,1.4E+00,30,20.2,1.6E-02,8.1E-02,-2.2E-01,30,400,1.6E-02,3.9E-03,-9.4E-03,40,13.7,8.2E-01,6.0E+00,7.3E+00,OK
42,14:16:20,mature,tower_macarunduba,more_shade,3,7404.5,0,14.4,0.0241,956,0.581,2.32,30.07,6,1.42,1,2.84,29.57,30.07,29.95,2000.57,1977.25,19.021,19.875,45.05,47.08,400.0,1999,5,98.44,-5.57,-0.0693,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.98e+03,2.1E-01,1.1E-02,2.7E+00,30,19.9,1.4E-02,7.2E-02,-1.8E-01,30,400,1.8E-02,4.5E-03,-9.9E-02,40,13.4,1.1E+00,8.2E+00,9.6E+00,OK
