Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
91,15:32:03,11,shade_1,old,11,23503.5,0,3.93,0.00589,855,0.179,2.91,31.57,6,1.42,1,2.84,30.23,31.57,29.94,1999.92,1993.49,17.499,17.762,40.05,40.66,400.1,1501,4,98.8,-3.32,-0.0287,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
92,15:34:11,11,shade_1,old,11,23636.5,0,3.8,0.00626,945,0.199,3.05,32.13,6,1.42,1,2.84,30.25,32.13,29.95,1999.88,1993.58,17.581,17.874,40.20,40.87,400.1,1999,3,98.8,-2.95,-0.0295,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
93,15:36:08,11,shade_1,old,11,23754.0,0,4.09,0.00637,891,0.198,2.98,31.89,6,1.42,1,2.84,30.22,31.89,29.94,1999.52,1992.79,17.633,17.924,40.39,41.05,400.1,1751,4,98.8,-3.2,-0.0318,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
94,15:38:05,11,shade_1,old,11,23870.5,0,3.99,0.00628,905,0.189,2.89,31.60,6,1.42,1,2.84,30.23,31.60,29.94,1999.67,1993.13,17.687,17.966,40.48,41.12,400.1,1501,2,98.8,-3.05,-0.0269,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
95,15:40:02,11,shade_1,old,11,23987.5,0,4.47,0.00644,814,0.189,2.81,31.30,6,1.42,1,2.84,30.19,31.30,29.95,1999.41,1992.15,17.743,18.021,40.70,41.34,400.1,1250,2,98.8,-3.3,-0.0282,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
96,15:42:02,11,shade_1,old,11,24108.0,0,4.24,0.00664,902,0.188,2.72,30.97,6,1.42,1,2.84,30.16,30.97,29.95,1999.19,1992.26,17.781,18.058,40.85,41.48,400.1,1000,2,98.8,-3.18,-0.0305,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
97,15:43:59,11,shade_1,old,11,24224.5,0,4.63,0.00669,820,0.183,2.63,30.64,6,1.42,1,2.84,30.11,30.64,29.93,1999.12,1991.64,17.829,18.100,41.09,41.71,400.1,800,1,98.8,-3.48,-0.0327,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
98,15:45:59,11,shade_1,old,11,24345.0,0,4.59,0.00687,860,0.18,2.52,30.20,6,1.42,1,2.84,30.08,30.20,29.94,1998.71,1991.28,17.879,18.144,41.28,41.89,400.1,501,2,98.8,-3.82,-0.0373,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
99,15:47:56,11,shade_1,old,11,24461.5,0,4.62,0.00709,888,0.18,2.44,29.92,6,1.42,1,2.84,30.05,29.92,29.95,1999.15,1991.68,17.931,18.197,41.45,42.07,400.1,300,2,98.79,-4.04,-0.0355,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
100,15:49:53,11,shade_1,old,11,24579.0,0,4.35,0.00712,953,0.177,2.39,29.72,6,1.42,1,2.84,30.02,29.72,29.94,1999.05,1991.99,17.955,18.216,41.60,42.20,400.1,200,0,98.79,-4,-0.0467,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
101,15:51:50,11,shade_1,old,11,24695.5,0,3.44,0.00733,1.18E+03,0.179,2.35,29.53,6,1.42,1,2.84,29.99,29.53,29.94,1998.89,1993.19,17.971,18.234,41.70,42.31,400.1,100,2,98.78,-4.32,-0.0473,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
102,15:53:47,11,shade_1,old,11,24813.0,0,2.38,0.00771,1.43E+03,0.184,2.3,29.35,6,1.42,1,2.84,29.97,29.35,29.94,1998.99,1994.87,17.998,18.269,41.81,42.44,400.1,51,4,98.78,-4.35,-0.0391,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
