Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
24,14:32:08,tower_tachi,more_shade,old,lc2,5070.5,0,6.29,0.0101,885,0.456,4.31,34.39,6,1.42,1,2.84,30.92,34.39,29.93,2000.39,1989.59,11.012,11.689,24.12,25.60,400.1,1999,30,98.33,-1.71,-0.00248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,14:33:39,tower_tachi,more_shade,old,lc2,5161.5,0,6.51,0.0102,862,0.459,4.3,34.34,6,1.42,1,2.84,30.92,34.34,29.93,2000.21,1989.09,10.987,11.668,24.06,25.55,400.1,1750,35,98.33,-1.71,-0.00248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,14:35:10,tower_tachi,more_shade,old,lc2,5252.5,0,6.79,0.0101,809,0.448,4.23,34.11,6,1.42,1,2.84,30.95,34.11,29.94,2000.52,1988.99,10.974,11.637,23.99,25.44,400.1,1501,37,98.33,-1.71,-0.00248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,14:36:41,tower_tachi,more_shade,old,lc2,5343.5,0,6.76,0.00998,806,0.43,4.12,33.71,6,1.42,1,2.84,30.91,33.71,29.93,2000.31,1988.90,10.964,11.602,24.02,25.42,400.1,1251,30,98.32,-1.71,-0.00248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,14:38:12,tower_tachi,more_shade,old,lc2,5434.5,0,6.81,0.00998,801,0.418,4,33.30,6,1.42,1,2.84,30.90,33.30,29.92,2000.18,1988.73,10.952,11.571,24.00,25.36,400.1,1000,31,98.32,-1.71,-0.00248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
29,14:39:43,tower_tachi,more_shade,old,lc2,5525.5,0,6.32,0.00981,863,0.402,3.92,33.00,6,1.42,1,2.84,30.91,33.00,29.93,2000.12,1989.45,10.935,11.531,23.95,25.25,400.1,801,32,98.32,-1.71,-0.00248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
30,14:41:14,tower_tachi,more_shade,old,lc2,5616.5,0,6.22,0.00945,843,0.374,3.79,32.52,6,1.42,1,2.84,30.87,32.52,29.93,2000.17,1989.73,10.935,11.490,24.00,25.22,400.1,501,33,98.31,-1.71,-0.00248,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
31,14:43:11,tower_tachi,more_shade,old,lc2,5733.0,0,5.57,0.00894,901,0.345,3.69,32.15,6,1.42,1,2.84,30.82,32.15,29.93,1999.67,1990.29,10.954,11.466,24.12,25.25,400.1,301,40,98.32,-2.19,0.000605,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,14:45:09,tower_tachi,more_shade,old,lc2,5851.5,0,5.32,0.00855,905,0.325,3.64,31.95,6,1.42,1,2.84,30.81,31.95,29.93,1999.52,1990.58,10.963,11.444,24.14,25.21,400.1,201,37,98.32,-2.7,-0.00529,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,14:47:06,tower_tachi,more_shade,old,lc2,5968.0,0,4.44,0.00829,1.04E+03,0.31,3.58,31.74,6,1.42,1,2.84,30.81,31.74,29.94,1999.63,1992.04,10.974,11.434,24.17,25.19,400.1,100,36,98.31,-2.75,-0.00424,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,14:49:04,tower_tachi,more_shade,old,lc2,6086.5,0,2.93,0.00818,1.32E+03,0.3,3.51,31.45,6,1.42,1,2.84,30.78,31.45,29.93,1999.35,1994.05,10.985,11.429,24.25,25.23,400.1,51,35,98.31,-2.76,-0.00557,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,14:51:05,tower_tachi,more_shade,old,lc2,6207.0,0,1.06,0.00798,1.68E+03,0.291,3.49,31.39,6,1.42,1,2.84,30.75,31.39,29.93,1999.07,1996.61,10.989,11.420,24.28,25.24,400.1,10,33,98.31,-3.35,-0.00916,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
